#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
     286   13.830   -0.941   -2.663   -1.205    4.106   -3.190   -0.688    0.685    2.708   -3.371
     287    7.209    0.315   -6.500   -7.546    5.134   -6.042   -2.434    0.568    0.776   -2.592
     288    9.612    1.974   -0.413   -6.574    3.312   -5.651   -0.776    0.743   -0.840   -1.495
     289    7.850    6.242   -1.126  -10.028    4.973   -0.757   -2.559   -3.195   -2.610   -0.742
     290    6.938    6.215    4.607   -3.169    2.268   -1.683   -4.840   -0.644   -1.681    3.339
     291    8.940    2.893   -0.444   -3.612    2.344   -4.535   -2.801    4.244    0.222   -4.091
     292    7.596   -1.708   -1.657   -3.409    2.908   -0.700   -3.629    4.324   -5.535   -1.714
     293    9.886    0.087    0.327   -2.514    1.577   -4.195   -5.224    1.395   -1.038   -1.939
     294   11.460    2.195    5.917    1.815   -0.008   -4.544   -6.474    4.490    1.028    4.141
     295    8.916    1.670    2.754   -3.736    1.332    3.325   -6.060    1.978   -0.278   -3.001
     296   15.165    0.159    0.241   -1.556    1.947   -0.886   -5.278    2.040   -0.022   -0.004
     297   12.561   -1.491   -6.952   -1.551    1.081    1.805   -1.478   -1.716    0.696    0.209
     298   12.310   -2.539    1.663   -0.327    4.145   -4.097   -3.678    0.335    5.527    0.035
     299   11.910    1.424    4.396   -1.645    1.379   -0.857   -2.706    1.398    2.234    1.595
     300    9.107   -1.323   -4.878   -5.400    2.579   -4.388    1.671   -5.029    0.939   -0.080
     301    9.381    6.285    2.243   -7.618    1.613   -2.036   -4.432    0.923    2.181   -3.442
     302   14.291   -2.198   -1.044   -1.209    4.174   -5.332   -0.542   -3.385    2.097    0.336
     303    9.847    0.811    2.090   -3.818   -0.104   -4.837   -0.358   -1.325    4.176    3.317
     304   11.251    3.781   -0.030   -8.300    0.616   -2.157    1.991    0.837    1.934    5.812
     305    8.029    5.795   -4.680   -6.773    1.523    1.709   -0.206    2.726   -1.336    0.706
     306    9.943    2.749   -3.274   -4.608    0.160    1.489    2.479   -0.464    3.710    0.537
     307    9.974    2.846   -2.474   -1.496   -0.507    0.244    5.467    2.799    4.698    1.654
     308    7.606    4.347   -0.230   -4.657   -1.870   -4.385    7.537   -4.061    1.573   -0.461
     309    8.713    7.673    7.606   -5.928   -1.234   -3.593   -1.742    0.645    2.639    4.564
     310    9.451   -0.211   -6.608   -3.144    2.441   -0.630    3.857   -3.985   -0.332   -0.525
     311   14.357    2.705   -2.630   -0.141    2.953   -4.405    0.998    3.710    0.128   -1.393
     312   14.257    1.175   -2.351   -2.296    3.036   -7.001    4.824   -0.690    2.211    3.066
     313   10.334    2.363    1.570   -2.373   -0.341   -5.242   -0.170    2.902   -0.842    1.197
     314   11.388    6.305   -3.000   -6.482    7.914   -2.525    2.293   -1.083    3.657    1.111
     315   10.702    6.484   -2.390   -8.147    5.338    1.583   -2.276   -1.151    1.267    3.530
     316    6.571    7.559   -1.929   -5.790    5.241   -1.761    4.656    2.729    2.349    2.751
     317    6.429   10.531   -8.523   -8.765    6.718    2.440   -0.708   -1.765   -2.081    0.211
     318    8.038    4.468   -4.851    3.276    5.892   -4.960    3.130   -0.959   -0.367   -0.912
     319    9.290    4.791   -5.973    3.678    2.250   -1.999    5.234   -0.892   -3.652   -1.428
     320   11.010    6.931   -9.578   -3.705    4.688    1.940    3.928   -1.304   -3.560    0.385
     321    9.917    4.816   -7.437   -0.556    2.940    4.786    0.619    2.471   -0.382    0.572
     322   12.657    3.542   -3.117    5.849    3.840    2.296    0.711    4.892    0.748    1.944
     323   11.782    8.052   -3.149    1.060    1.767    0.956    4.727   -2.616   -1.987    1.761
     324    7.751    3.442   -9.366   -7.557    3.470    5.564    1.200   -1.391    2.029    1.829
     325    7.495    5.969   -8.264   -4.911    5.147    0.016   -3.099   -4.089   -1.495    3.167
     326   13.060    3.585   -2.017    2.246    0.374   -4.815    1.239   -3.515    0.115    0.890
     327   14.575    5.118   -2.427   -1.079    6.175    3.410   -0.019   -7.120    1.127    4.014
     328   13.572    3.149    1.058    2.495   -0.006   -1.059   -2.176   -1.331    2.095    2.440
     329    7.981    2.108   -3.942   -2.244    3.051   -1.506    0.897   -4.326    4.657    2.995
     330   13.618    5.794   -2.437   -0.356    3.493    1.911    0.493   -4.101    1.495   -0.174
     331    9.741   10.263    1.007   -4.117    3.057    4.584   -1.423    2.477    6.517    1.121
     332    7.059    9.575    4.834   -2.290    3.017   -3.061   -0.105    2.249    0.856    0.891
     333    5.225    3.233   -1.668   -7.997    7.056   -0.880   -4.569   -3.980    2.962    3.424
     334    8.183    4.154   -1.870   -2.582    1.541   -6.145    1.029    0.424   -0.238    1.391
     335    8.399    3.146   -3.801    0.475   -1.348   -5.418    2.067   -4.570   -0.949    1.242
     336    6.414    3.902   -3.132   -1.855    0.378   -0.267   -0.870    1.335    0.049    0.101
     337   10.447    8.164   -1.102   -3.693    2.711   -0.269    2.275   -1.747   -1.440    1.503
     338    9.823    5.369   -2.676   -1.856   -2.686    2.874    4.549   -3.303    0.317   -0.356
     339   12.760    3.166   -2.835    5.010   -1.256   -2.438    4.868    0.721    0.561   -4.203
     340   10.016   10.131    0.463    0.108    3.761    3.530   -1.766   -0.503    4.909    5.070
     341    6.847    8.735   -1.216   -0.781   -0.196    2.462    1.487    2.034    1.984    0.652
     342   14.436    0.215    2.114    7.084    0.115   -8.061    3.805    0.057    1.421    0.618
     343    7.165    8.076   -2.691    1.156    1.152    4.485    2.982   -0.378   -2.967    1.966
     344   11.423    5.165   -4.855    6.695    4.705    4.394    4.061    1.097   -1.848    2.741
     345    9.118   13.142    2.048    2.240    3.780    1.699    4.253    1.460   -2.459    0.404
     346   12.102    9.990    7.250    3.834    2.443    1.818    0.412    0.398    1.092    2.201
     347    7.078   11.022    2.129    0.759    0.694   -1.908   -2.523   -1.484    0.291   -3.632
     348   11.087    9.917    3.566    1.601    4.989   -1.138    2.352   -2.004   -2.554    0.660
     349    7.487    8.723    4.259   -0.402    4.850    1.227    2.915    1.171    2.499    1.966
     350    9.387   10.949    3.323    2.685    2.267   -0.030   -1.749   -0.957    6.853   -3.779
     351    6.617    4.752    0.660   -0.511   -0.963    0.576    3.583   -4.165    4.806    0.982
     352    5.158    7.769   -6.701    1.887    4.901    1.631    1.599   -2.353   -2.112   -2.371
     353    5.709   10.170    6.349    0.723   -1.736    3.388   -0.865   -1.225    4.984    2.427
     354    5.619    8.859    1.586    2.780    3.075    4.106    3.613   -0.427   -0.891    3.551
     355    7.302   12.847    6.274    0.313    0.230    1.998    3.278    1.756    1.774    0.004
     356    8.131   10.173    7.325    2.338   -3.081    2.575    4.394   -0.622    6.052    5.677
     357    8.837    8.540    3.253    1.805    1.440    2.543    3.035    1.752    3.800    0.144
     358   12.614    7.615    5.396    8.113    2.358    0.646    2.515    2.941    4.952    1.214
     359    6.051    5.614   -3.707    4.919    1.400    8.491   -1.075    0.367    2.444    1.527
     360    7.422    4.018   -2.780    4.530   -0.597   -3.840    4.193    1.172    9.526   -0.336
     361   10.726    6.384    7.040    0.512    2.588   -0.349    3.524    3.160    5.156   -1.011
     362    6.568    7.030   -0.323   -3.843   -0.191    5.304   -4.175   -1.924    6.607   -0.051
     363   10.184    3.430    2.440    3.303   -1.198   -0.653    1.385   -4.072    2.679   -0.411
     364   10.426    7.625    7.021    1.510   -0.695    1.829   -0.184    0.338    3.634   -3.567
     365   11.884    4.521    0.086   -0.300    0.714    1.475    6.029   -1.565    1.234   -1.866
     366    1.981    9.862   -0.007    0.071   -0.468    1.841    3.197    2.595   -2.942   -4.919
     367    3.432   10.751    0.495   -1.882    3.131    5.240    0.402    1.462   -2.682   -3.217
     368    8.206    5.092    0.700    2.750   -0.781    0.844    7.083   -2.379    0.630   -1.470
     369    2.423    3.948    9.176    1.811    0.360   -5.369    7.009   -0.018    4.599    2.567
     370    3.538    1.105    1.680    0.545    6.927   -0.803    4.953   -1.723    3.467   -2.129
     371    1.534    7.460    3.807   -1.213    3.546   -2.307    0.382   -7.385    3.816    0.844
     372    7.322    7.664    4.562    2.893    2.368    0.505   -2.179   -3.411    3.913   -2.564
     373    5.292    7.308    5.652    6.683   -2.357   -5.391    0.223    0.473    5.737    1.978
     374    2.068    7.657    5.322   -1.519    3.513    1.769    3.072   -2.720    2.318    2.392
     375    8.375    6.488    5.571    4.293    1.043   -1.035    2.532   -1.470    5.193    2.405
     376    7.652    9.173    7.258    1.749    3.945   -0.456    4.422    1.194    3.359   -4.883
     377    6.260    6.102    5.763    5.462   -3.668    0.128    2.846   -0.699    3.679    2.092
     378    6.887    5.780    9.895    7.809   -5.297   -4.598   -0.182    0.803    2.557    1.161
     379    6.470   11.305    7.227    3.696    2.805   -1.597   -0.599    0.948   -1.809   -0.596
     380    3.805   12.508    6.547    2.313    3.371    2.502   -1.170   -1.309    4.051   -2.263
     381    7.800    5.386    4.908    5.027    3.121   -3.341    1.388    2.117    4.008   -2.290
     382    7.781    4.426   -1.603    2.443    2.415    0.679   -0.119   -3.113    8.152   -0.590
     383    7.520    4.472   -1.355   -0.315    4.431    3.466   -2.837   -3.785    2.875    0.408
     384    8.315   12.322    6.745    2.458    3.384    2.731   -0.771   -3.254    2.205    3.028
     385   11.392    3.277    1.858    9.429    4.673    2.340    2.555    0.487    7.234    2.422
     386    7.884    5.640   -3.777    7.203    5.382    6.872    2.175    1.382    5.296    5.416
     387    7.936    4.532   -2.546    7.327    0.491    5.219    2.376    0.128    5.620    1.812
     388    7.088    4.655   -0.961    6.181   -0.861   -4.492    6.891   -5.850    3.676    3.053
     389    9.819    8.158    5.352    6.947    1.399   -1.249    5.550   -1.366    2.661    1.127
     390    5.733    3.162   -1.387    4.601    4.880    1.699    2.787   -3.109    5.531    0.949
     391   13.044    2.990    4.203   14.016    2.627   -0.684    5.929   -0.924    2.493    4.462
     392    6.748    2.725    2.674   14.989    3.933   -5.475    1.021    0.813    1.224   -4.329
     393    4.940    7.093    7.307    5.097    4.638   -3.511    5.314   -1.014    0.756   -1.456
     394   10.193    8.561    4.447    5.843    3.493   -0.898    2.389    1.061    1.910    1.893
     395    8.373    6.392    5.131    5.616    4.057   -6.522    5.831   -1.543    3.835    1.758
     396   12.722    5.329    2.848    8.298    5.351   -4.477   -1.615   -1.948    4.721   -0.704
     397   12.182    7.203    4.462    7.705    3.405   -3.913   -0.453   -2.056    5.501    1.664
     398    6.677    9.020    3.327    3.427    1.916   -0.328    4.742    1.084    1.544   -1.348
     399    3.656    7.642   -6.756    1.378    5.075    8.025   -0.682   -2.078   -1.053   -0.442
     400    5.435    2.515   -6.521    3.306    4.122    0.689    3.561   -2.695    2.619    3.038
     401   10.427    8.348    1.795    4.237    4.909    1.006    4.274   -0.456    2.145    0.180
     402   11.909    6.854    0.940    4.353    3.861    0.441   -0.418   -2.092    6.223    2.421
     403   10.298    6.737   -2.534    0.278    4.586    1.059   -4.770   -0.882    2.047   -1.021
     404    8.658    8.267   -2.370    1.950    7.894    0.805   -1.115   -1.772    1.349   -3.055
     405   10.908    5.425   -3.143    3.088    1.886   -0.004   -2.491    0.043    3.810   -0.979
     406   13.948    7.283    3.067    6.161    4.956   -0.490    1.499    0.425    2.057    4.810
     407   11.042    7.150    2.082    6.165    3.073    1.216   -1.169    0.204    2.343    3.286
     408   11.102   10.285    5.152    7.603    1.984    0.274   -1.135   -0.652   -0.355   -0.855
     409    9.637    4.948    0.122    7.328    3.498   -0.973    1.297   -2.596    3.780   -0.332
     410    4.815   10.319    5.735    4.184    3.040    5.345   -4.599   -0.544   -0.079    0.036
     411    3.156    6.073    0.957   -1.663    7.790    3.933   -7.207   -5.875    1.624   -2.714
     412    0.832    7.720    2.074   -1.236   -1.224    4.128   -7.031   -0.453    3.702   -4.452
     413    9.613   -0.339    2.552   10.622    0.006   -0.530   -2.365   -2.836   -0.609    1.144
     414    3.461    1.492   -0.713    6.933    5.133    1.136   -8.454   -0.522    3.408   -0.339
     415    7.060    1.057   -4.999   10.031    0.683    1.569   -3.723   -0.389    2.178   -1.786
     416    0.841    1.478   -1.794    2.565    2.707   -1.212   -8.855   -3.387    1.978   -0.970
     417   10.311    4.980    4.529    7.656    3.962   -2.638  -12.148   -3.304   -0.366    0.950
     418    6.392    3.281    0.655    7.344    1.823    2.093   -4.259   -7.680   -1.146   -1.408
     419    6.103    4.919    5.478    2.821    5.361   -2.292   -7.431   -0.983    1.937   -0.838
     420    7.737    3.151    1.564    5.938    2.282   -1.495   -1.076   -5.992    4.497    1.800
     421   11.151    5.920    5.201    8.510    1.384    0.512   -1.339   -1.657    1.473   -3.012
     422    9.840    6.984    0.075   11.475   -0.752    3.083    2.107   -0.615    1.998   -3.431
     423    4.944    8.373    4.358    3.176   -1.240    1.071   -3.101   -0.227    1.626   -6.837
     424    7.170    8.900    1.147    8.189   -0.094   -3.860   -2.188   -1.432    3.872   -6.473
     425    8.400    7.699    3.589    5.039   -0.234   -2.100   -1.163   -2.526    3.432   -5.293
     426   10.105    4.690    2.052    8.160   -2.261   -3.464   -1.383   -4.189    2.919   -2.928
     427    9.177    8.938    6.251    4.870   -1.982   -2.963   -1.882   -1.464    3.821   -4.946
     428    9.693    8.076    3.099    6.245   -1.155    2.360   -2.991   -1.335    3.140   -5.967
     429   11.284    4.842    2.148   13.874   -1.091   -0.916   -3.800   -0.076   -0.850   -2.943
     430    4.036    5.132    1.111    7.261   -0.366   -1.209   -0.365   -1.545    4.021   -2.430
     431    3.242    6.194    2.525    3.336    0.304   -7.220   -0.262   -2.902    3.320   -2.919
     432    7.897    3.997    0.677    8.915    1.813   -5.597   -2.313   -3.402    0.881   -2.962
     433    3.665   10.536    3.858    5.560   -4.482   -0.055   -3.299   -0.777    2.265   -4.689
     434    3.334   10.038    4.549    2.380   -3.046    2.018   -3.679   -1.263    3.300   -4.233
     435    1.135    9.645   -6.232    0.676   -2.360    7.973   -7.099   -2.312    0.516   -2.257
     436    2.803    3.260   -1.125   -0.273   -0.169    1.861   -3.458   -4.124   -2.023   -3.381
     437    2.837   10.773   -0.740   -0.743   -0.036    1.873   -0.864    2.741    1.016   -3.731
     438    1.157    9.519   -4.231    6.705   -0.575    0.277   -0.948   -1.963    0.166   -5.809
     439   -2.894    6.910   -9.087    3.001    1.716    0.493    1.765   -1.691   -3.101   -8.353
     440    2.017   10.002   -5.031    4.250   -0.058    0.435    3.781   -1.096   -1.858   -5.586
     441   -3.174    6.388   -6.896    6.367   -0.684   -0.033    3.151    2.519    0.691   -4.116
     442   -0.985    6.961   -5.571    6.098   -0.049    2.625    3.274    1.134   -0.007   -5.996
     443    4.951    6.934    0.240   10.058   -2.263    0.046    5.279    2.926    2.791   -5.231
     444   -3.053    5.424   -5.817    6.468   -1.215    0.200    0.573    3.622    0.841   -7.849
     445   -2.088    8.068   -1.024    6.483   -3.733   -1.956    3.810   -0.384    0.170   -8.449
     446    2.326    5.930   -2.067   10.740   -2.649    1.022    5.700    2.529   -2.163   -4.861
     447   -3.188    5.507    0.081    7.332   -1.544   -4.170   -2.199    2.835    1.711   -7.992
     448    2.819   14.596    6.417    5.305   -0.211    2.404   -3.336    4.791   -3.043   -7.692
     449    1.726    5.051   -5.093    0.704    2.574    2.074    0.272    0.123   -0.163   -0.222
     450    3.695    8.967    0.102    0.840   -1.770    3.196    0.551   -0.883    3.618   -6.657
     451    4.136    5.457    7.265    7.800    0.693   -2.302   -2.235   -1.481    0.242    0.507
     452    1.381    2.852    1.969    4.335    3.422    0.102    1.301   -2.919   -1.671    2.208
     453   -0.925    1.559   -6.216    5.671   -0.823    6.460    0.815    2.985   -0.206   -3.979
     454    0.509    6.644   -3.347    4.730   -2.191    3.749    2.379    0.133   -0.358   -4.976
     455   -2.950    1.087   -9.240    3.972   -6.030    0.216    3.058    0.231   -2.555   -4.673
     456    0.274    8.234   -1.747   10.156   -3.745    4.011    0.075    1.007   -2.521   -3.244
     457   -1.751    5.752    5.583    1.176    2.361    1.230    4.184    0.853    0.917   -2.161
     458   -0.866   12.624    3.106   -0.087   -3.315    2.780   -1.121    1.385   -3.355   -1.598
     459    1.041    1.534   -4.893    7.807   -4.542    5.037    3.307   -2.255    5.467   -1.869
     460   -4.088    6.077   -4.013   -0.208    1.390    5.835    1.674   -1.848   -5.155   -0.627
     461   -1.550    3.729   -6.015    7.703   -0.630    5.345   -1.222   -0.838   -1.393   -4.674
     462   -1.832    8.883   -5.756    2.510   -1.416    8.156   -3.578   -2.212   -0.914   -0.234
     463    5.024    2.319   -5.269    7.398   -5.329    8.214    4.579   -3.511   -3.853    0.046
     464    0.826    7.963   -2.608    6.501   -1.858    3.315   -1.347    0.353    0.790   -0.576
     465    2.755    6.653   -4.116    7.537   -3.071    5.809    0.135    1.678   -1.882   -1.408
     466    2.789    7.081    0.167    5.129   -0.401    6.987   -0.857   -1.764   -1.539    3.028
     467    3.348    5.466   -5.807    6.908    0.480    6.778    0.678   -4.575    0.526   -2.099
     468   -4.082    6.699   -4.155    4.511   -2.485    2.459    0.878   -0.334    0.333   -2.834
     469    1.014    1.921   -3.652   14.250   -3.282    1.619    2.733    0.307   -0.809    5.332
     470    1.842    2.647   -2.134   10.722   -1.317    2.338    0.886   -2.660   -0.211    0.213
     471   -0.120    6.297    0.992    7.898   -4.373    1.898   -1.817   -0.597    1.049   -4.613
     472    1.306    0.306   -6.058    8.390   -1.933   -2.263    0.532   -6.725    1.797   -3.912
     473    1.727    3.837   -1.356    7.753   -1.344   -3.212   -2.111   -5.939    1.788   -3.197
     474   -4.743    0.631    0.747    5.830    3.153   -4.044    0.217   -3.729   -1.104   -4.174
     475    2.146    2.452    3.967   11.634   -0.435   -1.324    0.833   -1.026   -2.734    1.062
     476    0.629  -12.517   -0.066   10.944    1.991   -1.708    1.495   -6.303    2.835    0.565
     477   -2.904   -5.944    5.886    6.110    3.332   -1.029   -3.502    2.813    2.976    2.559
     478   -8.487   -3.571    4.810    5.941    4.995   -5.407   -1.889   -1.257    0.584   -0.619
     479   -3.925   -4.137    8.478    6.214    2.857   -2.441   -0.536   -0.246   -2.762   -0.322
     480   -9.706   -2.284    7.980    3.527   -3.182   -8.790   -3.715   -1.714   -1.607    2.062
     481   -7.117   -7.288    7.477    5.968   -0.415   -4.696   -1.901   -0.818    0.614   -1.711
     482   -3.585   -8.909    7.259    6.797    3.565   -3.202   -3.413    1.730    2.478   -0.432
     483   -2.341   -2.346    7.246    7.192    5.874    3.723   -6.123   -1.074    0.740   -1.442
     484   -6.041   -3.197    3.961    1.128    4.841   -0.368   -5.456   -5.554    1.227   -2.010
     485   -6.584   -4.258    3.897    2.758    3.703    4.753   -2.394   -2.486    4.081    0.670
     486   -9.294    1.046    4.162   -0.422    2.854    2.348   -3.294   -1.138    1.477   -0.187
     487   -5.593  -10.632   -0.831    8.709    4.946    4.983   -1.386   -1.875    6.564   -2.422
     488   -2.534   -9.503    2.703   10.729    0.707    6.036   -4.147    0.522    2.149   -2.230
     489   -5.995   -0.101    4.959    3.769    7.071    4.526   -5.668   -0.117    3.544   -3.601
     490   -6.589   -6.048    7.955    3.573    1.090   -1.944   -0.212   -0.797    2.850    0.999
     491   -7.205  -13.303   -1.857    6.983    0.105   -1.248   -1.382   -3.256   -3.384   -0.549
     492   -6.559  -11.518    2.029    3.799   -0.661    0.113    0.071   -3.552    1.806   -0.749
     493   -7.499  -13.560   -2.958    4.727    1.761    1.503    0.502   -2.597    0.572    2.874
     494   -8.707  -12.810  -10.170   -0.765    2.826    0.528    6.205   -3.504   -3.751   -3.348
     495   -6.915  -14.258   -2.621    4.259    3.576   -3.299    5.862    1.261    2.729   -0.734
     496  -10.062   -6.008    6.795   -1.880    1.752    0.151   -1.733    2.792    2.615   -3.786
     497   -6.813   -7.935   -0.057   -2.142    2.698    0.085    1.522   -1.822   -0.528   -1.809
     498   -8.872   -9.974   -0.067    1.529    4.132   -0.216    2.628    0.614    2.097   -6.240
     499   -9.444  -10.527   -2.963    3.121    2.853    0.900    1.679   -0.219    3.187   -5.803
     500  -10.342   -1.071    4.389   -5.147    3.441   -2.690    1.822   -1.138    2.133   -3.204
     501   -8.950   -6.896   -3.863   -1.232    1.706    3.433   -0.542    0.882    3.036   -1.873
     502   -9.689   -3.588    0.731   -4.594    2.041    1.157    0.776    0.126    1.278   -1.070
     503   -8.570   -6.306    1.294    4.657    1.431   -1.617    0.269    0.399    0.235   -1.002
     504   -6.267   -7.246    2.477    4.768    1.595    0.947    4.103    1.439    0.564   -1.960
     505   -9.560   -4.335    2.138   -1.734    2.989    6.244    0.580    2.939   -1.741    0.301
     506  -10.005    0.642    1.649   -1.345    3.289    3.551    0.450    4.286    1.412   -5.135
     507   -9.874    3.968    3.876   -4.996    8.280    4.699    1.649    0.681   -1.133   -3.981
     508   -7.791   -3.133    3.769    3.512    1.356   -0.536   -1.078    6.661    0.614   -5.437
     509   -6.395   -5.968   -1.628    0.438    4.447    4.700    3.714    1.123    0.599   -0.300
     510   -3.645   -5.402    3.239    2.036    6.328    6.647    0.141   -2.054   -0.461    0.906
     511  -10.760   -4.706    1.157   -1.707    2.133    6.933   -1.324    1.893   -1.344    0.260
     512   -6.439   -5.693    4.487    1.862    2.492   -0.096    2.455    1.269   -0.680   -1.912
     513   -8.833   -9.673   -0.221    3.306    3.267    0.602    5.487    2.935   -0.649   -2.514
     514  -11.966   -6.213   -4.255   -0.225    2.249   -4.572    4.108    1.961   -4.688   -4.346
     515  -11.773   -6.334    3.362   -0.187    1.041   -1.871    1.830    0.707   -2.363   -2.075
     516   -8.688   -5.818    4.665   -0.460   -0.899   -2.758    2.239   -1.599    1.552   -2.316
     517  -10.303   -6.096   -5.089   -1.338    7.928    1.132    0.566    4.968   -0.834   -4.927
     518  -13.004   -2.939   -2.079   -4.434    6.222    4.748    4.027    4.065   -3.234   -3.874
     519   -9.146   -3.994    5.881    1.169    1.686   -0.151    4.585    2.094    1.425   -0.031
     520   -7.833   -6.647    3.144    0.600    0.793   -1.222    4.043   -0.306   -1.762   -3.044
     521   -7.168  -13.345   -1.862    7.994    4.909    2.748    5.224    1.260    4.333    3.040
     522   -9.899  -10.297   -2.220    3.764    2.808    0.480    6.551    2.063   -1.035   -3.951
     523   -7.231   -6.711   -1.445    1.888    2.235    3.244    6.881   -0.925    0.395   -3.591
     524  -10.802   -4.459   -2.879   -1.873    2.565   -0.501    3.036   -1.770    1.131   -4.085
     525   -8.321   -4.835   -3.285    2.639    2.328    0.288    6.889   -2.763   -1.649    2.993
     526  -11.248   -4.310    1.214    0.365    2.881   -4.399    3.451   -0.607   -3.195   -1.376
     527   -8.331   -4.034    0.755   -0.664    2.991    1.555    6.767    0.818   -4.176   -2.839
     528  -10.905   -0.963    0.461   -4.972    2.253    4.588    1.898    1.747   -5.666   -0.483
     529   -7.433   -2.661    4.958   -4.082    5.284    1.387    3.789    1.872   -2.206   -2.974
     530   -3.049   -7.853    2.340    3.310    1.197   -0.482    8.169   -1.808   -3.725   -3.969
     531   -9.302   -5.040    6.770    1.827    1.297    1.512   -1.220   -2.736   -4.393   -1.546
     532  -10.060   -3.958    2.665    0.060    4.453    1.923    1.625   -0.909   -3.261   -0.631
     533  -16.450   -3.644    8.946   -3.169    0.879   -3.850    1.423   -4.405   -2.779   -1.060
     534  -11.790   -4.976    5.357   -0.136    0.634   -8.192    0.673   -6.930   -4.269   -2.580
     535   -8.487   -3.443    2.698    2.507    4.495    5.120    2.519   -2.116   -3.701   -3.142
     536   -5.289   -5.702    8.495    0.198    4.755   -4.437    5.172   -6.433   -1.726   -1.266
     537   -8.501    1.731   14.253   -3.363    1.176    2.042    2.405   -3.522   -8.551   -2.060
     538   -1.386    1.064   15.449    1.870    5.885    7.703    6.402    0.054   -5.072    0.330
     539   -6.127    1.205   10.603   -2.422    6.924    7.771    2.721    0.635   -5.121   -4.125
     540   -6.125   -3.893    6.493   -0.915    4.295    6.484    4.828   -3.630   -1.222   -3.827
     541   -4.300   -4.407    7.466    0.923    4.564    4.127    0.618   -1.136   -2.574   -7.670
     542   -7.038   -3.199    9.652    2.066    0.284   -1.469    3.316   -3.328   -2.906   -4.128
     543   -1.489    0.902   10.758    0.615    4.433    6.749    0.357   -4.779   -2.059   -3.666
     544   -5.193   -2.433    7.479    3.137   -0.773    1.066    7.502   -3.479   -2.542   -3.142
     545   -6.255   -2.375    3.200   -0.676    1.678   -2.582    1.741    0.830   -4.571   -2.339
     546   -6.990    4.611   13.439   -1.543    0.567   -3.788    1.393   -1.306   -7.226   -2.993
     547   -1.937   11.135   14.627   -4.150    1.060    1.145   -1.469   -0.820   -1.348    0.874
     548   -8.618    2.120    6.654   -2.977    3.978    1.538   -2.607   -4.249   -2.676   -0.110
     549  -13.026   -0.241    4.394   -7.083    5.297    2.718    1.279   -5.502    0.722   -0.092
     550  -11.667   -0.465    5.839   -4.383    2.563   -0.799    4.336   -3.402   -0.776    3.552
     551  -15.497   -2.110    4.281   -4.298    0.198    0.706    4.920   -4.468   -4.341    0.512
     552  -12.586   -7.429    5.012   -1.076    2.815   -3.787    2.038   -3.614   -4.029    0.018
     553   -7.218    3.006   15.329   -1.520    3.769   -4.809    4.398   -2.308    4.052   -0.415
     554  -10.470   -3.841    7.040    0.311    1.839   -5.717    1.311   -0.301    1.393   -2.979
     555  -15.120   -4.692    3.134   -1.389   -1.312   -9.719    4.443    1.131    0.659   -1.217
     556  -15.882  -10.530   -3.284    4.090    0.587   -3.551    0.815    0.485    0.682   -1.308
     557  -15.022   -3.651    0.298    0.270    1.704   -7.500    2.268   -1.801    1.378   -1.312
     558  -10.271   -0.016    4.861   -5.069    5.105    2.770   -0.374   -3.089   -1.569   -1.376
     559   -6.215   -8.112    9.657    2.988    2.219    0.964    4.589   -2.255    0.442    5.174
     560   -7.400   -4.913    1.366    1.114    7.330    2.618    1.804   -0.700   -0.069   -1.641
     561  -13.514    1.038    3.222   -3.416    4.053    4.415    3.824    2.811   -3.497    1.653
     562   -8.434   -5.658    6.124    1.165   -0.294   -0.617    5.491    1.212   -1.942   -3.689
     563  -13.005   -6.720   -5.509   -6.996    7.674    5.294   -0.649   -0.397    3.178   -3.344
     564  -10.653    6.214   10.433   -8.682    1.427   -1.249    1.891   -1.569   -4.007   -4.577
     565   -5.425    5.257   12.265   -3.253    2.878    3.432    4.414   -4.325   -2.158   -0.066
     566    0.913    0.389    6.273   -2.232    7.604    7.138    3.708   -2.822   -1.951    1.910
     567   -3.199    1.648    4.189   -2.458    2.352    6.159    2.225   -2.615   -3.791   -0.622
     568   -3.761   -1.428    5.309   -5.026    3.651    2.033    5.596   -0.441   -5.705   -6.834
     569   -3.356   -5.923    2.438   -0.772    2.328    2.088    5.530   -4.479   -1.925   -2.989
     570   -6.011   -2.205   -0.766   -5.592    3.368    0.223    4.349   -1.921   -2.813   -5.153
     571  -13.285   -0.317    3.162   -5.715    1.296   -2.953    3.796   -0.080   -1.211   -8.201
     572   -5.958   -9.682    6.180   -1.652    2.413   -3.063    4.089   -0.212    0.877   -0.907
     573   -3.760   -1.067    2.764   -3.591    2.116    1.528    6.714    2.153   -0.447   -2.434
     574  -11.000  -10.361    3.816   -4.897    0.764    0.299   -0.937   -1.804    0.480    0.756
     575   -8.427  -13.643    0.079    0.300    2.139    2.121    1.664    0.321   -4.282   -2.076
     576   -8.803  -12.394   -0.736   -1.058    4.423    5.067   -0.265    4.502   -2.922    0.005
     577   -7.569  -13.405    3.235    1.797   -1.820   -1.329    4.698   -2.857   -2.158   -0.627
     578   -4.253  -12.436    7.485    2.630    2.216   -1.505    4.687    0.421   -1.433   -0.683
     579   -5.892  -11.860    8.383    0.901    3.447    4.691    3.469    0.671   -4.783   -1.328
     580   -9.253  -11.697    4.000   -2.021    1.069    0.328    5.366   -4.970   -4.572   -1.008
