#Frame      Mode1    Mode2    Mode3    Mode4    Mode5    Mode6    Mode7    Mode8    Mode9   Mode10
      66    7.944  -11.224   -5.372   -6.266    4.071   -0.543    3.507   -1.628    3.766    2.828
      67   16.955   -8.583   -1.013    2.865    2.330   -4.402   -1.715    2.988    4.978   -4.435
      68   11.603   -9.063   -5.421   -3.082    0.653    1.526   -3.952   -0.459   -0.201   -3.783
      69   13.408  -13.234   -2.971   -1.131    1.217   -5.624    6.358   -1.098    1.589   -1.020
      70   10.950   -8.775   -4.519   -3.886    0.654   -0.663   -1.086    2.693    2.008    0.549
      71    9.404  -12.235   -1.227   -4.879   -2.122   -5.788    6.669    1.530    1.274    1.889
      72    7.424   -8.429   -2.926   -7.154    0.307   -3.709    0.255    1.677    3.207   -0.676
      73    7.781  -11.110   -6.365   -8.305    0.945   -2.843    2.361    5.469    4.272   -0.008
      74    9.275  -11.698   -5.512   -8.909    1.998   -3.181   -1.599    0.417    2.733    4.020
      75   12.143   -9.368   -2.966   -4.773    2.706    0.367   -0.301    2.951    2.190    4.228
      76   13.623   -4.486   -1.365   -1.209    0.826   -1.211    2.182    1.837    1.096    5.607
      77   11.182   -2.252   -2.097   -5.152    1.349    1.094    0.789    1.190   -3.419   -2.888
      78    4.873   -5.582   -1.163   -5.290    2.869   -5.872   -3.091    4.578    2.889   -1.939
      79   11.389  -11.092    3.754   -1.761   -4.669   -1.152   -0.327    2.508    3.070    3.588
      80   10.428  -11.743    2.555   -5.149   -3.520    0.095   -5.853    1.605    6.683    3.617
      81    8.194  -13.801    3.157   -6.131   -3.735   -1.375    3.863    0.608    1.543    2.489
      82   10.867  -14.319    1.192   -0.340   -2.594   -2.398    0.225    4.369    5.827   -2.007
      83   10.595  -10.835    0.770   -4.474   -4.552    5.012    4.596   -1.211    1.794    4.216
      84   11.452  -13.216   -1.567   -8.441   -0.813    2.845    0.432   -0.677    0.825    4.052
      85   11.224  -12.178   -2.745   -4.606    1.191    3.759    0.825    3.584    1.232    1.279
      86   12.865  -14.863   -5.316   -6.351    2.547    6.630    2.330   -0.775   -0.092    1.809
      87    8.157  -15.125   -6.179   -7.969    2.259    5.693    2.085   -1.678    0.570    0.439
      88   15.558  -10.194    2.299  -10.047    2.317    1.884    4.462    0.063    4.265    2.884
      89   12.487  -11.764   -2.960   -7.933    3.575    3.915    6.547   -0.924    0.640    4.074
      90   12.034  -13.584   -4.332   -1.336    1.176    3.647    2.945    1.422    4.848    7.166
      91   14.419   -6.338    4.777   -0.567   -0.370    1.307    7.157    2.357    4.264    5.960
      92   11.036  -10.493    2.721   -4.548    0.349    2.688    4.705    0.884    3.639    1.096
      93   11.864   -9.284    2.186   -2.570    3.595    0.265   -0.227    2.822    2.451    0.641
      94   11.722  -11.414    0.726   -2.695    2.234    2.760    4.802    1.251    2.534   -2.165
      95    8.980  -10.945    3.052   -1.959    0.646   -1.053    5.453    1.234    3.371   -0.252
      96    7.423   -7.137   -0.208  -10.029    1.778    0.453    2.442   -2.965   -0.084    3.142
      97    7.210   -9.041    2.858   -1.803   -1.059   -1.426    4.615    7.428   -0.346   -2.744
      98   11.666  -11.696    5.228   -2.783   -2.284    1.474    2.094    4.834    4.667    1.116
      99    8.934   -9.385    2.021   -7.975    4.598   -1.045   -0.341   -0.776    2.143   -1.625
     100    2.105   -5.445    0.578   -9.094    0.720   -3.082    5.180    6.018    1.616    1.794
     101    8.676  -10.470   -1.407   -7.261    3.152    4.864    5.075    6.447    3.635   -1.867
     102    4.901   -8.098    0.797   -7.609    3.231   -1.648    4.208    3.548    0.896   -2.348
     103    5.234   -9.861   -1.020   -4.140   -1.086   -7.294    2.773    1.437    6.475   -6.029
     104    9.887   -7.005    1.160   -4.780   -3.323    0.242    6.466    4.603    4.688    0.717
     105    9.585   -2.913    4.092   -5.923    2.200   -2.641   -3.969    7.120    1.633   -2.829
     106    8.352  -10.472    0.507   -8.096   -0.856   -1.795    7.282   -0.031    5.019    2.508
     107    2.790   -7.587   -4.438  -11.294    1.004    0.799    1.443    3.104    5.178   -3.138
     108    2.069   -2.849   -2.003  -10.185    0.488   -6.144    0.152    5.405   -0.581   -4.759
     109    6.615   -8.698   -5.619   -5.059    0.648   -3.769    2.033    5.986    4.895   -1.818
     110    7.896  -10.609    4.239   -2.444   -2.569  -12.894    2.254    1.996    2.807    1.317
     111    7.492   -4.336   -0.382   -2.014    4.079   -3.653    0.182    6.440    0.092   -1.495
     112    4.709   -5.516    2.212   -9.178   -2.345   -5.202    1.789    3.880    0.962    2.495
     113   -0.374   -7.639   -3.562   -5.597    0.537   -8.030    4.182    3.353    0.565    0.934
     114    1.433   -7.327   -2.104   -1.683   -4.859  -13.822    1.473    3.647    1.407   -0.367
     115    4.385   -4.190    2.329   -9.387   -3.034   -3.528    1.171    3.252    4.786    2.407
     116    5.190   -5.760   -2.750   -7.497    0.041   -1.830   -3.771    6.423    1.164   -2.588
     117    4.842   -2.067   -5.204   -8.489    3.143   -3.055    0.018    5.920   -2.539   -2.573
     118    3.740   -5.420   -9.187   -1.958    2.190   -5.509    2.811    5.095   -2.520   -5.675
     119    5.833   -8.184   -9.373   -2.951    1.220   -2.366    2.239    7.013   -4.301   -3.452
     120    5.815   -8.633  -10.101   -4.273    1.494   -4.181   -1.648    2.874   -0.951   -3.443
     121    5.237   -9.077   -5.848   -5.367    1.522   -0.660   -3.828    3.336   -2.976   -3.185
     122    5.566   -4.817   -5.784   -7.404    0.358   -2.816   -3.543    5.884   -0.643   -3.092
     123    2.740   -1.886   -6.482   -9.625   -0.300   -2.691   -8.111    5.248    2.178   -2.444
     124    5.818   -2.232   -9.089   -6.476    0.091   -0.775   -0.938    6.162   -2.190   -4.284
     125   -0.601   -4.067   -6.834  -11.753   -0.879   -3.629   -1.892    5.651   -3.453   -2.216
     126    6.453   -1.604    2.267   -5.754   -5.722   -6.429    1.827    2.515   -1.847    3.043
     127    4.181   -6.107   -1.699   -8.867   -1.142   -5.717    2.078   -0.032   -6.604   -2.831
     128    6.022   -4.619    0.261   -3.058   -2.272   -8.917    1.567    8.123   -0.809   -3.156
     129    4.959   -5.699    0.644  -10.783   -3.088   -5.006    2.704   -1.125   -3.513   -2.222
     130    8.485    0.366    5.124   -8.264   -2.005   -5.467    2.327   -2.261   -1.981    1.781
     131    5.550   -3.386    1.789   -8.745   -0.788   -2.493    6.381   -1.345   -3.649   -4.627
     132    4.829    0.106    6.702  -12.057   -3.824   -5.140    2.367    3.067   -2.941    2.090
     133    8.341   -5.571   -2.151   -4.497   -0.082   -3.018    1.312    1.829   -1.478    1.638
     134    1.911   -2.745   -1.530  -12.498    3.534   -2.662    1.326    1.117   -7.249    1.194
     135    4.529   -5.069   -6.299   -6.595    4.059   -5.219    0.559    2.958   -2.431    1.148
     136   10.595   -5.404  -12.630   -5.553    1.949    0.354    5.023    1.206   -0.063    3.866
     137   14.393   -9.927   -2.620    6.668   -3.308   -4.235    6.577    2.491   -0.579    5.016
     138   16.867   -0.686    1.421   -0.555   -3.656    0.766    3.320    0.803   -3.198    1.234
     139   11.598    2.089   -2.358   -0.838   -1.876   -2.495    3.804    3.713   -3.074   -3.570
