name,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8
mol3_prepared,-38.929989,-37.405655,-36.214439,-36.119286,-34.623894,-34.470638,-33.976879,
mol4_prepared,-38.022915,-36.975559,-36.047211,-36.020401,-35.724957,-35.432804,-34.516239,
mol2_prepared,-27.424664,-27.258186,-27.201868,-27.195707,-25.837837,-25.824614,-25.304317,-24.926535
aspirin_prepared,-25.132605,-24.286533,-24.254223,-22.511488,-22.402836,-22.250778,-22.174660,-20.523193
mol1_prepared,-22.491543,-22.082760,-21.620728,-21.547119,-21.372868,-20.969929,-20.727848,-20.188505
