name,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8
mol4_prepared,-41.208626,-40.461372,-39.713104,-39.416939,-39.244808,-38.707790,-38.170135,
mol3_prepared,-40.608021,-39.710567,-39.524757,-38.767540,-38.627491,-38.432945,-38.124092,-38.050430
mol2_prepared,-28.586084,-27.955521,-27.125671,-26.681810,-26.022640,-25.601593,-25.592773,-25.558216
aspirin_prepared,-26.145075,-25.436335,-24.352467,-23.753654,-23.560064,-23.235689,-22.818356,-22.418123
mol1_prepared,-23.882040,-23.379356,-23.191301,-22.929447,-22.585333,-22.533333,-22.414856,-22.268148
