name,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8,pose9,pose10,pose11,pose12,pose13,pose14,pose15,pose16
mol4_prepared,-6.620,-6.611,-6.570,-6.503,-6.473,-6.412,-6.331,-6.320,-6.251,-6.171,-6.141,-6.013,-5.992,-5.918,,
mol3_prepared,-6.494,-6.355,-6.309,-6.153,-6.136,-6.089,-6.085,-6.068,-5.920,-5.917,-5.880,-5.835,-5.824,-5.812,-5.677,
mol2_prepared,-5.279,-5.240,-5.226,-5.185,-5.076,-5.034,-5.017,-4.978,-4.943,-4.936,-4.926,-4.886,-4.831,-4.598,,
aspirin_prepared,-5.063,-4.986,-4.886,-4.884,-4.766,-4.746,-4.711,-4.706,-4.660,-4.629,-4.470,-4.402,-4.355,-4.282,-4.133,-4.106
mol1_prepared,-4.736,-4.704,-4.693,-4.688,-4.613,-4.535,-4.520,-4.463,-4.298,-4.225,-4.214,-4.192,-4.147,-4.047,,
