name,pose1,pose2,pose3,pose4,pose5,pose6,pose7,pose8,pose9,pose10,pose11,pose12,pose13,pose14,pose15,pose16
mol4_prepared,-6.624,-6.283,-6.069,-5.967,-5.529,-5.477,-5.467,-5.364,-5.335,-5.236,-4.998,-4.993,-4.936,-4.625,-4.625,
mol3_prepared,-6.499,-6.297,-6.187,-6.083,-5.946,-5.887,-5.757,-5.676,-5.519,-5.487,-5.483,-5.429,-5.417,-5.361,-5.330,-5.234
mol2_prepared,-4.910,-4.889,-4.797,-4.786,-4.696,-4.619,-4.542,-4.535,-4.531,-4.420,-4.388,-4.355,-4.323,-4.266,-4.228,
mol1_prepared,-4.590,-4.360,-4.232,-4.226,-4.168,-4.129,-4.126,-4.037,-3.999,-3.988,-3.918,-3.849,-3.847,-3.803,-3.741,-3.691
aspirin_prepared,-4.380,-4.341,-4.228,-4.171,-4.118,-4.078,-3.985,-3.966,-3.961,-3.959,-3.910,-3.900,-3.900,-3.829,-3.822,-3.772
