#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
60.0%,300000,600.0,-40612.905,7590.79,-33022.115,297.624,31.446,0.972,1.41e+03,0:24
61.0%,305000,610.0,-40469.293,7695.76,-32773.533,301.74,31.205,0.98,1.41e+03,0:23
62.0%,310000,620.0,-40615.641,7613.125,-33002.517,298.5,31.222,0.979,1.41e+03,0:23
63.0%,315000,630.0,-40306.431,7870.361,-32436.07,308.586,31.544,0.969,1.41e+03,0:22
64.0%,320000,640.0,-40457.03,7604.913,-32852.117,298.178,31.418,0.973,1.41e+03,0:22
65.0%,325000,650.0,-40413.863,7701.426,-32712.437,301.962,31.169,0.981,1.41e+03,0:21
66.0%,330000,660.0,-41026.211,7686.303,-33339.907,301.369,31.154,0.981,1.41e+03,0:20
67.0%,335000,670.0,-40580.805,7640.695,-32940.109,299.581,31.506,0.97,1.41e+03,0:20
68.0%,340000,680.0,-40942.321,7654.92,-33287.401,300.139,31.257,0.978,1.41e+03,0:19
69.0%,345000,690.0,-41051.944,7870.496,-33181.449,308.591,30.953,0.988,1.41e+03,0:18
70.0%,350000,700.0,-40660.731,7432.616,-33228.114,291.422,31.12,0.982,1.41e+03,0:18
71.0%,355000,710.0,-40857.093,7569.196,-33287.897,296.778,31.068,0.984,1.41e+03,0:17
72.0%,360000,720.0,-40845.671,7649.198,-33196.473,299.914,31.089,0.983,1.41e+03,0:17
73.0%,365000,730.0,-40790.895,7469.535,-33321.359,292.87,30.971,0.987,1.41e+03,0:16
74.0%,370000,740.0,-40920.048,7612.668,-33307.38,298.482,30.922,0.989,1.41e+03,0:15
75.0%,375000,750.0,-40742.496,7489.45,-33253.045,293.651,31.252,0.978,1.41e+03,0:15
76.0%,380000,760.0,-40545.917,7531.378,-33014.539,295.295,30.866,0.991,1.41e+03,0:14
77.0%,385000,770.0,-40779.225,7719.177,-33060.048,302.658,30.79,0.993,1.41e+03,0:14
78.0%,390000,780.0,-40747.986,7687.811,-33060.175,301.428,30.844,0.991,1.41e+03,0:13
79.0%,395000,790.0,-40986.886,7719.015,-33267.871,302.652,30.452,1.004,1.41e+03,0:12
80.0%,400000,800.0,-40560.866,7584.542,-32976.324,297.379,30.834,0.992,1.41e+03,0:12
