GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
39,-1510.5871,-14007.5826,-1756.8003,72.1574568,-15518.1697,-1684.6428432,-17202.8125432
40,-1505.5147,-14077.8358,-1691.7629,70.23952224,-15583.3505,-1621.52337776,-17204.87387776
41,-1485.2355,-14030.6879,-1692.9527,70.6925376,-15515.923400000001,-1622.2601624000001,-17138.1835624
42,-1526.1253,-14042.9252,-1775.4323,69.70896432,-15569.0505,-1705.72333568,-17274.773835679996
43,-1474.7587,-13937.8521,-1848.1761,72.75364992,-15412.6108,-1775.4224500799999,-17188.03325008
44,-1478.436,-13847.6107,-1960.0738,74.02517064,-15326.046699999999,-1886.04862936,-17212.095329359996
45,-1470.8442,-13931.0729,-1818.805,73.33375176,-15401.917099999999,-1745.47124824,-17147.388348239998
46,-1481.8067,-14011.604,-1805.4371,72.44303832,-15493.4107,-1732.9940616800002,-17226.404761679998
47,-1494.9261,-13852.6467,-1916.8833,75.24878328,-15347.5728,-1841.63451672,-17189.20731672
48,-1519.3999,-13849.7387,-1920.5982,74.22425783999999,-15369.1386,-1846.3739421599998,-17215.51254216
49,-1508.3803,-13925.3514,-1857.2961,72.93400128,-15433.7317,-1784.36209872,-17218.09379872
50,-1503.1176,-13904.5383,-1862.0784,69.86692008,-15407.6559,-1792.21147992,-17199.86737992
51,-1496.815,-13812.6817,-1846.6344,72.07752456,-15309.4967,-1774.5568754399999,-17084.053575439997
52,-1464.8848,-13888.1428,-1894.2293,73.05445008,-15353.0276,-1821.17484992,-17174.20244992
53,-1477.121,-14035.9654,-1798.0659,72.46197216,-15513.0864,-1725.60392784,-17238.690327840002
54,-1510.1782,-13793.9614,-1899.3897,72.50814936,-15304.1396,-1826.88155064,-17131.02115064
55,-1533.6518,-13879.0382,-1936.487,72.61033895999999,-15412.69,-1863.87666104,-17276.56666104
56,-1485.5852,-13829.3579,-1947.6486,75.35038824,-15314.9431,-1872.29821176,-17187.24131176
57,-1491.4896,-13874.9992,-1889.4855,74.18560031999999,-15366.488800000001,-1815.29989968,-17181.78869968
58,-1496.735,-13805.596,-1955.2648,72.62041032,-15302.331,-1882.64438968,-17184.97538968
59,-1497.095,-13941.1014,-1892.9434,72.58137048,-15438.196399999999,-1820.36202952,-17258.55842952
60,-1474.0705,-13941.9129,-1817.029,75.08220696000001,-15415.9834,-1741.94679304,-17157.93019304
61,-1490.1777,-13932.5473,-1845.6323,73.79673984,-15422.725,-1771.8355601599999,-17194.56056016
62,-1501.8714,-13954.0653,-1770.6187,72.35412407999999,-15455.9367,-1698.26457592,-17154.20127592
63,-1473.6928,-13899.0175,-1823.4952,73.97530848000001,-15372.7103,-1749.51989152,-17122.23019152
64,-1514.7639,-13878.8566,-1847.8684,69.98107176,-15393.620499999999,-1777.88732824,-17171.50782824
65,-1522.7286,-13875.486,-1886.2035,73.45613232,-15398.214600000001,-1812.74736768,-17210.961967680003
66,-1508.2899,-13889.3286,-1875.8948,72.03527352,-15397.6185,-1803.85952648,-17201.47802648
67,-1493.8383,-14072.4066,-1704.5742,72.57679920000001,-15566.2449,-1631.9974008,-17198.2423008
68,-1524.339,-13850.4136,-1868.4953,72.11153592,-15374.7526,-1796.38376408,-17171.136364079997
69,-1508.112,-14050.9542,-1731.7794,71.06258951999999,-15559.066200000001,-1660.7168104799998,-17219.78301048
70,-1472.0158,-13945.5741,-1784.5953,73.76728536,-15417.589899999999,-1710.82801464,-17128.41791464
71,-1514.5853,-13843.0988,-1844.9429,71.84146175999999,-15357.6841,-1773.10143824,-17130.78553824
72,-1485.3362,-13856.3957,-1853.7445,73.6007004,-15341.731899999999,-1780.1437996,-17121.8756996
73,-1505.714,-13863.7736,-1848.0096,72.43484615999999,-15369.4876,-1775.57475384,-17145.062353840003
74,-1493.114,-13953.4531,-1799.535,73.9124172,-15446.5671,-1725.6225828000001,-17172.1896828
75,-1489.2313,-13945.5896,-1767.5718,73.71755928,-15434.820899999999,-1693.85424072,-17128.67514072
76,-1460.5966,-13980.5664,-1789.9603,73.32176663999999,-15441.163,-1716.6385333599999,-17157.801533359998
77,-1483.3302,-13880.3052,-1816.3103,72.17771760000001,-15363.635400000001,-1744.1325824,-17107.7679824
78,-1497.9082,-13962.4441,-1800.8281,71.13594527999999,-15460.3523,-1729.69215472,-17190.044454720002
79,-1483.7771,-13788.0141,-1966.2883,76.81986144,-15271.7912,-1889.4684385599999,-17161.25963856
80,-1529.7521,-13889.7525,-1899.3285,74.6030628,-15419.5046,-1824.7254372,-17244.2300372
81,-1494.3793,-13870.9112,-1903.8113,72.95474304,-15365.290500000001,-1830.85655696,-17196.14705696
82,-1511.7686,-13884.492,-1888.1293,73.29023928,-15396.2606,-1814.8390607200001,-17211.09966072
83,-1481.7019,-13945.3371,-1860.2156,73.45561032,-15427.039,-1786.75998968,-17213.79898968
84,-1494.1677,-13941.1299,-1842.7775,72.02687832,-15435.2976,-1770.75062168,-17206.048221679997
85,-1491.4701,-13801.3422,-1889.2364,75.98096208,-15292.8123,-1813.25543792,-17106.06773792
86,-1489.1296,-13815.4126,-1856.6489,74.70865008,-15304.5422,-1781.9402499199998,-17086.48244992
87,-1459.5548,-13784.5354,-1967.8039,75.95107415999999,-15244.0902,-1891.8528258400002,-17135.943025840003
88,-1493.929,-13735.5642,-2056.6747,74.14416288,-15229.4932,-1982.53053712,-17212.023737120002
89,-1515.4774,-13882.1733,-1907.3686,74.63170008,-15397.6507,-1832.73689992,-17230.38759992
90,-1492.4451,-13752.9728,-2030.0055,74.71777463999999,-15245.4179,-1955.28772536,-17200.70562536
91,-1477.4054,-13916.5741,-1869.9177,71.51983128,-15393.9795,-1798.39786872,-17192.37736872
92,-1490.0757,-13813.7669,-1988.191,76.15695528,-15303.8426,-1912.03404472,-17215.87664472
93,-1510.9734,-13874.3255,-1872.8138,75.04080048,-15385.298900000002,-1797.77299952,-17183.07189952
94,-1475.4467,-13930.0313,-1900.0608,72.84028176,-15405.478000000001,-1827.22051824,-17232.698518240002
95,-1506.2172,-13884.1502,-1883.1261,73.27351224,-15390.3674,-1809.85258776,-17200.21998776
96,-1474.2732,-13823.8489,-1900.118,75.05536608,-15298.1221,-1825.0626339199998,-17123.18473392
97,-1527.9208,-13869.5184,-1867.4543,71.44959528,-15397.4392,-1796.00470472,-17193.443904720003
98,-1471.8229,-13904.9432,-1828.4137,72.23606208000001,-15376.766099999999,-1756.17763792,-17132.94373792
99,-1484.3411,-14030.4629,-1719.8894,73.12772303999999,-15514.804,-1646.76167696,-17161.56567696

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-1477.6767,-13871.4627,-1851.8545,71.03728224,-15349.1394,-1780.81721776,-17129.956617760003
1,-1460.2401,-13766.0711,-1879.1377,72.84085775999999,-15226.3112,-1806.29684224,-17032.60804224
2,-1490.368,-13755.8536,-1903.8041,70.40703528,-15246.2216,-1833.3970647200001,-17079.61866472
3,-1421.8887,-13715.0985,-1982.2387,75.40672248,-15136.9872,-1906.83197752,-17043.819177520003
4,-1455.0774,-13758.914,-1883.6169,72.94316543999999,-15213.9914,-1810.67373456,-17024.66513456
5,-1449.6967,-13724.7023,-1915.9912,73.30690368,-15174.399000000001,-1842.68429632,-17017.08329632
6,-1440.9621,-13698.4042,-1898.7786,74.17471751999999,-15139.366300000002,-1824.60388248,-16963.970182480003
7,-1427.9016,-13766.6966,-1910.9277,74.4662196,-15194.598199999999,-1836.4614804,-17031.059680399998
8,-1458.9906,-13699.2733,-1925.7836,73.86585336,-15158.263900000002,-1851.91774664,-17010.18164664
9,-1429.8628,-13734.0969,-1929.2325,76.5841716,-15163.959700000001,-1852.6483284,-17016.6080284
10,-1450.2756,-13775.8838,-1867.8214,73.17468072,-15226.1594,-1794.64671928,-17020.80611928
11,-1425.9115,-13831.6441,-1795.4463,75.35972448,-15257.5556,-1720.08657552,-16977.64217552
12,-1392.8688,-13766.2608,-1891.5092,76.5215352,-15159.1296,-1814.9876648,-16974.1172648
13,-1421.0821,-13689.9544,-1974.9592,76.55316336,-15111.0365,-1898.40603664,-17009.44253664
14,-1408.5032,-13851.4811,-1858.2643,76.323348,-15259.9843,-1781.9409520000002,-17041.925251999997
15,-1445.8213,-13769.3305,-1904.2887,75.91145112000001,-15215.1518,-1828.37724888,-17043.529048880002
16,-1436.433,-13702.8107,-1922.7555,75.98319552000001,-15139.243699999999,-1846.77230448,-16986.01600448
17,-1435.2397,-13816.8316,-1871.6624,74.65156272,-15252.0713,-1797.01083728,-17049.082137280002
18,-1435.362,-13909.0626,-1781.7366,73.86154488,-15344.424599999998,-1707.87505512,-17052.299655119998
19,-1440.3953,-13855.4125,-1807.0671,75.23385551999999,-15295.8078,-1731.83324448,-17027.64104448
20,-1430.9592,-13865.9447,-1819.2941,73.78480728,-15296.9039,-1745.50929272,-17042.41319272
21,-1410.2081,-13777.494,-1873.6764,76.86620352,-15187.7021,-1796.81019648,-16984.51229648
22,-1415.027,-13774.9411,-1903.2143,76.74477048,-15189.9681,-1826.4695295200002,-17016.43762952
23,-1427.5414,-13735.119,-1886.0515,76.33948967999999,-15162.6604,-1809.71201032,-16972.372410320004
24,-1432.4905,-13738.7285,-1946.4602,77.17545575999999,-15171.219,-1869.28474424,-17040.50374424
25,-1442.0028,-13911.4023,-1757.5009,72.85724495999999,-15353.4051,-1684.64365504,-17038.04875504
26,-1427.8683,-13796.6299,-1849.9585,74.85320807999999,-15224.4982,-1775.10529192,-16999.60349192
27,-1417.4599,-13908.3008,-1794.2771,72.11702088,-15325.7607,-1722.16007912,-17047.920779120002
28,-1407.0052,-13887.0125,-1789.0868,73.33662888,-15294.0177,-1715.75017112,-17009.767871120002
29,-1467.6093,-13847.3864,-1780.8913,74.25904752,-15314.9957,-1706.63225248,-17021.627952479997
30,-1451.1815,-13766.7416,-1903.3851,73.81826351999999,-15217.9231,-1829.56683648,-17047.48993648
31,-1433.2554,-13794.1899,-1850.0053,72.62929872,-15227.4453,-1777.37600128,-17004.82130128
32,-1444.9575,-13825.9687,-1840.3956,73.03571784,-15270.9262,-1767.35988216,-17038.28608216
33,-1436.9055,-13719.6871,-1897.4652,75.5916048,-15156.5926,-1821.8735952000002,-16978.4661952
34,-1440.9642,-13776.1163,-1865.0748,74.68125336,-15217.0805,-1790.39354664,-17007.47404664
35,-1416.2435,-13861.7727,-1817.7654,75.22519248,-15278.0162,-1742.54020752,-17020.556407519998
36,-1432.185,-13741.5581,-1928.1074,77.13286559999999,-15173.7431,-1850.9745344,-17024.7176344
37,-1421.8025,-13779.5354,-1860.1173,76.13990208,-15201.3379,-1783.97739792,-16985.31529792
38,-1429.0992,-13800.3536,-1871.9617,76.20623712,-15229.452800000001,-1795.75546288,-17025.20826288
39,-1435.1568,-13880.0569,-1781.6435,74.5341804,-15315.2137,-1707.1093196,-17022.323019599997
40,-1427.0554,-13936.1223,-1723.9412,73.067112,-15363.1777,-1650.874088,-17014.051788
41,-1411.8102,-13908.1566,-1718.8462,73.19551032,-15319.9668,-1645.65068968,-16965.61748968
42,-1455.5003,-13918.5646,-1798.5049,71.63555256,-15374.0649,-1726.86934744,-17100.934247439996
43,-1397.3161,-13815.5112,-1864.4505,74.97082512,-15212.8273,-1789.47967488,-17002.30697488
44,-1408.1421,-13719.0333,-1984.5034,75.85058735999999,-15127.1754,-1908.65281264,-17035.82821264
45,-1394.9158,-13802.0337,-1842.5207,75.54291192,-15196.9495,-1766.97778808,-16963.927288079998
46,-1411.7828,-13884.1827,-1821.7389,73.84122432,-15295.965499999998,-1747.89767568,-17043.86317568
47,-1424.0482,-13723.9248,-1938.4263,76.81258872,-15147.973,-1861.6137112800002,-17009.58671128
48,-1444.1994,-13725.365,-1942.1173,77.207454,-15169.5644,-1864.9098459999998,-17034.474246
49,-1428.5919,-13801.6854,-1873.2261,75.78541296,-15230.2773,-1797.44068704,-17027.717987040003
50,-1424.1345,-13774.7611,-1890.3737,72.83899728,-15198.8956,-1817.53470272,-17016.43030272
51,-1411.9557,-13674.9884,-1877.0484,74.98972368,-15086.9441,-1802.05867632,-16889.00277632
52,-1397.2123,-13749.0692,-1920.4774,75.57214392,-15146.2815,-1844.90525608,-16991.186756080002
53,-1403.1299,-13903.854,-1823.6864,74.83700736,-15306.9839,-1748.8493926400001,-17055.833292639996
54,-1435.6981,-13666.6021,-1927.3275,75.25532016,-15102.3002,-1852.07217984,-16954.372379840002
55,-1452.7143,-13754.6684,-1961.4415,74.958372,-15207.3827,-1886.4831279999999,-17093.865827999998
56,-1416.1924,-13711.2551,-1961.738,76.63402583999999,-15127.4475,-1885.10397416,-17012.551474159998
57,-1419.1071,-13751.7815,-1911.2366,75.91685616,-15170.888599999998,-1835.31974384,-17006.208343839997
58,-1419.0204,-13672.6557,-1979.4957,75.176874,-15091.676099999999,-1904.318826,-16995.994926
59,-1427.7347,-13818.5027,-1912.131,74.26414008,-15246.237399999998,-1837.86685992,-17084.10425992
60,-1405.7871,-13823.0403,-1842.6478,76.97821032,-15228.8274,-1765.66958968,-16994.49698968
61,-1417.3934,-13793.3484,-1877.1018,75.74863031999999,-15210.7418,-1801.3531696799998,-17012.09496968
62,-1426.0199,-13825.7751,-1793.3364,74.41319879999999,-15251.795,-1718.9232012,-16970.718201199998
63,-1410.7588,-13783.1085,-1841.2432,75.20345496,-15193.8673,-1766.0397450399998,-16959.90704504
64,-1435.5972,-13758.183,-1878.8448,73.15460856,-15193.780200000001,-1805.69019144,-16999.47039144
65,-1446.6472,-13741.0881,-1912.5283,75.57337439999999,-15187.7353,-1836.9549256,-17024.6902256
66,-1444.7895,-13755.5459,-1901.9143,73.79355672,-15200.3354,-1828.12074328,-17028.45614328
67,-1416.4189,-13934.6178,-1730.7897,75.82638599999999,-15351.0367,-1654.963314,-17006.000014
68,-1452.6014,-13718.7829,-1902.1694,74.48628959999999,-15171.3843,-1827.6831104,-16999.0674104
69,-1438.7879,-13909.5321,-1762.4903,73.3609044,-15348.32,-1689.1293956,-17037.4493956
70,-1406.5382,-13810.5936,-1808.8023,75.76351199999999,-15217.1318,-1733.038788,-16950.170587999997
71,-1443.2479,-13717.609,-1870.4539,74.20583808,-15160.8569,-1796.24806192,-16957.10496192
72,-1410.6077,-13728.2795,-1881.4259,75.8189196,-15138.887200000001,-1805.6069803999999,-16944.4941804
73,-1433.2613,-13733.1459,-1876.0126,74.51062992,-15166.4072,-1801.50197008,-16967.909170079998
74,-1419.7313,-13819.758,-1829.7962,76.23113544,-15239.4893,-1753.5650645599999,-16993.054364559997
75,-1415.8352,-13824.5882,-1790.2669,76.02446015999999,-15240.4234,-1714.24243984,-16954.66583984
76,-1389.766,-13853.4944,-1809.991,75.151764,-15243.2604,-1734.839236,-16978.099636000003
77,-1411.0959,-13754.1279,-1841.727,74.57935823999999,-15165.2238,-1767.1476417600002,-16932.37144176
78,-1419.9031,-13848.7966,-1823.741,74.19549096,-15268.6997,-1749.54550904,-17018.24520904
79,-1414.1066,-13671.7622,-1984.4838,79.206174,-15085.8688,-1905.277626,-16991.146426
80,-1454.8189,-13763.6616,-1925.431,77.05550088,-15218.4805,-1848.37549912,-17066.855999119998
81,-1416.5976,-13756.4399,-1925.2531,75.55787352,-15173.037499999999,-1849.69522648,-17022.73272648
82,-1435.3491,-13762.2427,-1911.8246,76.07132064,-15197.5918,-1835.7532793599999,-17033.345079360002
83,-1412.0625,-13829.4483,-1875.5168,75.41340336,-15241.5108,-1800.10339664,-17041.614196640003
84,-1423.8771,-13808.009,-1867.6798,73.69233768,-15231.8861,-1793.9874623199998,-17025.87356232
85,-1423.0818,-13677.9738,-1899.7739,76.92725016,-15101.0556,-1822.8466498399998,-16923.90224984
86,-1422.6306,-13721.7069,-1863.6783,76.65837048,-15144.3375,-1787.01992952,-16931.35742952
87,-1396.4825,-13665.3353,-1977.3132,76.68724464,-15061.8178,-1900.62595536,-16962.44375536
88,-1417.9496,-13610.1532,-2085.685,76.53481128,-15028.1028,-2009.15018872,-17037.252988720003
89,-1441.6161,-13755.4834,-1929.3644,76.21502111999999,-15197.099499999998,-1853.1493788799999,-17050.24887888
90,-1422.8364,-13628.7754,-2051.8977,76.51622087999999,-15051.6118,-1975.38147912,-17026.99327912
91,-1412.1104,-13798.6889,-1884.5532,73.20667032,-15210.799299999999,-1811.34652968,-17022.145829679997
92,-1422.7942,-13679.5164,-2012.6988,77.7507444,-15102.3106,-1934.9480555999999,-17037.2586556
93,-1444.9429,-13749.3291,-1894.5495,76.66075584,-15194.272,-1817.88874416,-17012.160744160003
94,-1410.2433,-13805.6016,-1923.5059,74.40108552,-15215.8449,-1849.1048144800002,-17064.94971448
95,-1435.9595,-13754.5198,-1905.1549,74.75181336,-15190.479299999999,-1830.40308664,-17020.88238664
96,-1410.4707,-13700.0678,-1921.1568,76.3026948,-15110.5385,-1844.8541052,-16955.3926052
97,-1452.1518,-13735.5461,-1890.8746,74.11153464,-15187.6979,-1816.7630653600002,-17004.46096536
98,-1397.8242,-13773.0655,-1848.6266,74.02069151999999,-15170.8897,-1774.6059084800002,-16945.49560848
99,-1417.1951,-13892.8603,-1746.0243,75.01189104,-15310.055400000001,-1671.0124089600001,-16981.06780896

Ligand Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-7.5148,-94.879,-47.8129,6.0435072,-102.3938,-41.7693928,-144.16319280000002
1,-8.3227,-98.5607,-40.9565,5.97523536,-106.8834,-34.98126464,-141.86466464
2,-10.6451,-87.5733,-44.6424,6.17288688,-98.2184,-38.46951312,-136.68791312000002
3,-12.9322,-80.3346,-45.5511,6.109077599999999,-93.26679999999999,-39.4420224,-132.70882239999997
4,-10.7363,-84.2646,-46.9402,6.056162639999999,-95.0009,-40.88403736,-135.88493736
5,-7.5315,-90.1842,-46.8089,6.0776784,-97.7157,-40.7312216,-138.4469216
6,-9.5493,-88.1514,-49.3762,6.16361472,-97.7007,-43.21258528,-140.91328528
7,-14.8105,-93.8281,-44.6991,5.86547856,-108.63860000000001,-38.83362144,-147.47222144
8,-9.1023,-89.7129,-47.7963,6.03792576,-98.8152,-41.75837424,-140.57357424
9,-12.7601,-93.47,-40.85,6.00556104,-106.2301,-34.844438960000005,-141.07453895999998
10,-12.7618,-93.7858,-41.2349,5.98854456,-106.54759999999999,-35.24635544,-141.79395544
11,-12.2611,-95.0961,-44.2522,5.80639392,-107.3572,-38.445806080000004,-145.80300608
12,-13.024,-92.4405,-44.9605,5.912341919999999,-105.4645,-39.04815808000001,-144.51265808000002
13,-12.634,-102.88,-41.4759,5.92701192,-115.514,-35.548888080000005,-151.06288808
14,-14.5287,-92.1913,-43.4983,5.8104194399999995,-106.72,-37.68788056,-144.40788056
15,-14.4577,-95.6157,-40.343,5.7449707199999995,-110.0734,-34.598029280000006,-144.67142928
16,-14.0494,-103.6671,-38.2502,5.7064932,-117.71650000000001,-32.5437068,-150.2602068
17,-16.062,-94.8655,-45.2001,5.922731519999999,-110.9275,-39.27736848,-150.20486848000002
18,-14.3536,-108.2121,-36.4528,5.64896232,-122.5657,-30.803837680000004,-153.36953768
19,-12.5565,-85.9415,-44.9808,5.7518172000000005,-98.498,-39.228982800000004,-137.7269828
20,-14.0132,-95.4524,-40.0707,5.7264444,-109.4656,-34.344255600000004,-143.8098556
21,-14.2996,-92.0637,-43.2245,5.907196079999999,-106.3633,-37.31730392,-143.68060391999998
22,-14.1954,-95.9901,-42.1624,5.81600088,-110.18549999999999,-36.34639912,-146.53189912
23,-13.2446,-96.217,-41.9204,5.8929912,-109.4616,-36.0274088,-145.4890088
24,-12.7353,-89.2354,-46.0832,5.880020399999999,-101.9707,-40.2031796,-142.1738796
25,-15.3164,-84.8938,-43.9695,5.87854584,-100.2102,-38.090954159999995,-138.30115416
26,-12.2414,-97.1412,-42.1631,5.920511039999999,-109.3826,-36.24258896,-145.62518896
27,-11.9586,-88.48,-43.7699,5.86491912,-100.43860000000001,-37.90498088,-138.34358088000002
28,-13.088,-100.0723,-41.356,5.94539496,-113.16029999999999,-35.41060504,-148.57090504
29,-12.3972,-100.6859,-42.765,6.1112714399999994,-113.0831,-36.653728560000005,-149.73682856
30,-11.1332,-89.3449,-45.0479,5.96603736,-100.4781,-39.08186264,-139.55996264
31,-10.0932,-95.1147,-42.2653,5.8622263199999995,-105.2079,-36.403073680000006,-141.61097368
32,-14.2268,-95.3344,-41.9166,5.82947928,-109.5612,-36.08712072,-145.64832072000002
33,-12.7857,-97.3311,-42.9388,6.0439932,-110.11680000000001,-36.8948068,-147.01160680000004
34,-8.881,-87.7261,-44.8781,6.2573544,-96.6071,-38.62074560000001,-135.22784560000002
35,-7.9217,-88.5598,-46.9281,6.2267904,-96.4815,-40.7013096,-137.1828096
36,-5.7758,-91.5705,-44.6022,6.253187759999999,-97.3463,-38.34901224000001,-135.69531224
37,-5.5268,-98.8791,-39.7475,6.2218404,-104.40589999999999,-33.525659600000004,-137.93155959999999
38,-11.301,-95.3714,-43.4966,6.11685144,-106.6724,-37.37974856,-144.05214855999998
39,-11.0443,-90.9916,-46.2034,6.21809928,-102.0359,-39.985300720000005,-142.02120072000002
40,-13.7215,-100.6728,-42.5439,5.998533119999999,-114.3943,-36.54536688,-150.93966688
41,-7.7984,-87.6704,-45.2431,6.1274678399999996,-95.4688,-39.11563216,-134.58443216
42,-7.422,-91.7809,-43.966,6.33181176,-99.2029,-37.63418824,-136.83708824
43,-10.0075,-92.2469,-44.6482,6.1791876,-102.2544,-38.469012400000004,-140.7234124
44,-11.0026,-92.3891,-45.2527,6.07671432,-103.3917,-39.17598568,-142.56768567999998
45,-9.7532,-93.1258,-46.0052,6.31727928,-102.87899999999999,-39.68792072,-142.56692071999998
46,-10.2196,-95.3136,-45.3244,6.22648944,-105.5332,-39.097910559999995,-144.63111056
47,-9.7445,-94.7209,-44.8079,6.2338910400000005,-104.4654,-38.57400895999999,-143.03940896
48,-7.521,-96.1231,-41.742,6.26973264,-103.6441,-35.47226736,-139.11636736
49,-10.636,-91.6219,-44.2398,6.24761712,-102.25789999999999,-37.99218288,-140.25008288
50,-10.2031,-89.5652,-46.3586,6.15600144,-99.76830000000001,-40.202598560000006,-139.97089856
51,-9.864,-96.4854,-44.9476,6.134172479999999,-106.3494,-38.813427520000005,-145.16282752
52,-9.5545,-91.3821,-46.3644,6.258998879999999,-100.9366,-40.10540112,-141.04200111999998
53,-12.2872,-95.625,-45.4927,6.38550216,-107.9122,-39.10719784,-147.01939784
54,-10.09,-88.8185,-48.2126,6.21689544,-98.9085,-41.99570456,-140.90420456
55,-10.9263,-90.6439,-46.8671,6.37106544,-101.5702,-40.49603456,-142.06623456
56,-7.8961,-90.1076,-48.3125,6.44721048,-98.00370000000001,-41.86528952,-139.86898952
57,-8.856,-87.1181,-47.6381,6.248620079999999,-95.97409999999999,-41.38947992,-137.36357992
58,-7.3299,-92.0267,-48.1693,6.46407144,-99.3566,-41.70522856,-141.06182856
59,-8.9958,-91.3936,-48.2908,6.4393704,-100.38940000000001,-41.851429599999996,-142.2408296
60,-8.3133,-88.3988,-47.619,6.41358792,-96.71209999999999,-41.20541208,-137.91751208
61,-10.361,-92.1153,-46.711,6.364386,-102.47630000000001,-40.346614,-142.822914
62,-11.5048,-91.9622,-47.4728,6.309030239999999,-103.467,-41.16376976,-144.63076976
63,-9.1232,-85.9378,-47.1496,6.1086672,-95.06099999999999,-41.0409328,-136.1019328
